mol_id,title,num_confs,has_sites
1,RO5045337,10,1
2,RO5045337,10,1
3,Z1663153415,10,1
4,Z1650851736,10,1
5,Z1651182607,10,1
6,Z1638092160,10,1
7,Z1212004736,10,1
8,Z1633509877,10,1
9,Z1633509877,10,1
10,Z1632262203,10,1
11,Z1359754626,10,1
12,Z1139321012,10,1
13,Z1642887572,10,1
14,Z1607844686,10,1
15,Z1663835023,10,1
16,Z1652826107,10,1
17,Z1558390897,10,1
18,Z1587615900,10,1
19,Z1572208460,10,1
20,Z1572208460,10,1
21,Z1396476643,10,1
22,Z1396476643,10,1
23,Z1626136433,10,1
24,Z1626136433,10,1
25,Z1596551118,10,1
26,Z730732636,10,1
27,Z1823944878,10,1
28,Z1725385755,10,1
29,Z1632333222,10,1
30,Z1743820919,10,1
31,Z1743820919,10,1
32,Z1743820942,10,1
33,Z1743820942,10,1
34,Z1759958696,10,1
35,Z1744643728,10,1
36,Z1708478891,10,1
37,Z1725247483,10,1
38,Z1693246458,10,1
39,Z1693246458,10,1
40,Z1631632878,10,1
41,Z1763608227,10,1
42,Z237893114,10,1
43,Z1771829677,10,1
44,Z1667311091,10,1
45,Z1667311091,10,1
46,Z1666162089,10,1
47,Z1689508189,10,1
48,Z1689508189,10,1
49,Z1772824348,10,1
50,Z1619863712,10,1
51,Z1627589724,10,1
52,Z1139485901,10,1
53,Z1139485901,10,1
54,Z434318488,10,1
55,Z1558490605,10,1
56,Z1033468940,10,1
57,Z1139565768,10,1
58,Z1139481266,10,1
59,Z1139481266,10,1
60,Z1642151027,10,1
61,Z1578506620,10,1
62,Z212195946,10,1
63,Z1582766227,10,1
64,Z1408972173,10,1
65,Z1591483968,10,1
66,Z1168190237,10,1
67,Z1168190237,10,1
68,Z1193571787,10,1
69,Z1426059750,10,1
70,Z1690685593,10,1
71,Z1736411341,10,1
72,Z1102955529,10,1
73,Z1407861666,10,1
74,Z1613006424,10,1
75,Z1613006424,10,1
76,Z1342005809,10,1
77,Z1275982002,10,1
78,Z1428088581,10,1
79,Z375693140,10,1
80,Z401925730,10,1
81,Z401925730,10,1
82,Z1268663687,10,1
83,Z1268663687,10,1
84,Z636647276,10,1
85,Z857722740,10,1
86,Z857722740,10,1
87,Z1268841387,10,1
88,Z1335974170,10,1
89,Z1643360649,10,1
90,Z1644572751,10,1
91,Z1675727082,10,1
92,Z1640970044,10,1
93,Z1640970044,10,1
94,Z1643412885,10,1
95,Z1101568132,10,1
96,Z1593235371,10,1
97,Z1593235371,10,1
98,Z1593146139,10,1
99,Z1593146139,10,1
100,Z1688699218,10,1
101,Z1607163019,10,1
102,Z1607163019,10,1
103,Z96022156,10,1
104,Z992088102,10,1
105,Z131771830,10,1
106,Z1626806182,10,1
107,Z1609731922,10,1
108,Z1680685879,10,1
109,Z1139202077,10,1
110,Z70805814,10,1
111,Z1576978311,10,1
112,Z1576978311,10,1
113,Z1590039304,10,1
114,Z1592280018,10,1
115,Z1155954927,10,1
116,Z1563261715,10,1
117,Z1139336966,10,1
118,Z1139655688,10,1
119,Z1139655688,10,1
120,Z1268663363,10,1
121,Z1268663363,10,1
122,Z1132991710,10,1
123,Z1139482855,10,1
124,Z1139482855,10,1
125,Z1102954712,10,1
126,Z1283442682,10,1
127,Z1283442682,10,1
128,Z283838822,10,1
129,Z1757187754,10,1
130,Z1757187754,10,1
131,Z1516362052,10,1
132,Z1037784334,10,1
133,Z1439633515,10,1
134,Z1439633515,10,1
135,Z1439633515,10,1
136,Z1439633515,10,1
137,Z1669674155,10,1
138,Z1413132614,10,1
139,Z1527834953,10,1
140,Z989735816,10,1
141,Z989735816,10,1
142,Z1390565365,10,1
143,Z645023274,10,1
144,Z645023274,10,1
145,Z1225086569,10,1
146,Z1135228423,10,1
147,Z1135228423,10,1
148,Z1135228423,10,1
149,Z1135228423,10,1
150,Z1139479341,10,1
151,Z1139479341,10,1
152,Z1139567792,10,1
153,Z1139321259,10,1
154,Z273231424,10,1
155,Z273231424,10,1
156,Z1127980417,10,1
157,Z1142723470,10,1
158,Z1014179830,10,1
159,Z1014179830,10,1
160,Z1632799603,10,1
161,Z1632799603,10,1
162,Z1432450359,10,1
163,Z646610602,10,1
164,Z646610602,10,1
165,Z1462085724,10,1
166,Z1462085724,10,1
5001,Z1238980472,10,1
5002,RG7388,10,1
5003,Z1663292218,10,1
5004,Z1649157766,10,1
5005,Z1649157766,10,1
5006,Z1649157766,10,1
5007,Z1359754861,10,1
5008,Z1663149852,10,1
5009,Z1666883608,10,1
5010,Z1139478026,10,1
5011,Z1139478026,10,1
5012,Z1621367160,10,1
5013,Z1623260181,10,1
5014,Z595050880,10,1
5015,Z1266295171,10,1
5016,Z1263496266,10,1
5017,Z1260204607,10,1
5018,Z1643409482,10,1
5019,Z1627343708,10,1
5020,Z1626899560,10,1
5021,Z1226813352,10,1
5022,Z1452532074,10,1
5023,Z1569374717,10,1
5024,Z1569374717,10,1
5025,Z1567380677,10,1
5026,Z1629538886,10,1
5027,Z1629538886,10,1
5028,Z1494065225,10,1
5029,Z1643553777,10,1
5030,Z1757842250,10,1
5031,Z1756533239,10,1
5032,Z1673584845,10,1
5033,Z1768258095,10,1
5034,Z1756538802,10,1
5035,Z1727238762,10,1
5036,Z1757806718,10,1
5037,Z1743819664,10,1
5038,Z1743819664,10,1
5039,Z1743819664,10,1
5040,Z1693384534,10,1
5041,Z1619785369,10,1
5042,Z1772823860,10,1
5043,Z1612180540,10,1
5044,Z1359754358,10,1
5045,Z636152782,10,1
5046,Z1630787718,10,1
5047,Z1622935312,10,1
5048,Z1139467812,10,1
5049,Z1139467812,10,1
5050,Z1693384514,10,1
5051,Z1139361236,10,1
5052,Z737390204,10,1
5053,Z460549382,10,1
5054,Z1494910606,10,1
5055,Z1494910606,10,1
5056,Z444260594,10,1
5057,Z885339592,10,1
5058,Z885339592,10,1
5059,Z1210310215,10,1
5060,Z1479314149,10,1
5061,Z746759800,10,1
5062,Z1270098625,10,1
5063,Z1270098625,10,1
5064,Z1139481854,10,1
5065,Z1139481854,10,1
5066,Z1643951592,10,1
5067,Z1401669202,10,1
5068,Z1139279575,10,1
5069,Z1139279575,10,1
5070,Z1079886964,10,1
5071,Z1656369255,10,1
5072,Z1754567533,10,1
5073,Z286890224,10,1
5074,Z1456215912,10,1
5075,Z1456215912,10,1
5076,Z1456215912,10,1
5077,Z99423120,10,1
5078,Z1268666273,10,1
5079,Z1623880836,10,1
5080,Z1140147445,10,1
5081,Z1642026827,10,1
5082,Z336803644,10,1
5083,Z1631162507,10,1
5084,Z481887378,10,1
5085,Z1413732977,10,1
5086,Z1413732977,10,1
5087,Z1618330953,10,1
5088,Z1408138373,10,1
5089,Z1666144847,10,1
5090,Z1625983833,10,1
5091,Z1625983833,10,1
5092,Z1655418100,10,1
5093,Z408927046,10,1
5094,Z1669621300,10,1
5095,Z1643436404,10,1
5096,Z766458320,10,1
5097,Z1633496098,10,1
5098,Z1666078143,10,1
5099,Z1666078143,10,1
5100,Z1603229898,10,1
5101,Z1188753645,10,1
5102,Z1188753645,10,1
5103,Z1420461110,10,1
5104,Z1342802047,10,1
5105,Z1342802047,10,1
5106,Z1627612925,10,1
5107,Z643240306,10,1
5108,Z1232660831,10,1
5109,Z1360739616,10,1
5110,Z445978318,10,1
5111,Z225890520,10,1
5112,Z1593836527,10,1
5113,Z1589675275,10,1
5114,Z223756810,10,1
5115,Z915970414,10,1
5116,Z915970414,10,1
5117,Z1166112363,10,1
5118,Z1444526145,10,1
5119,Z1444526145,10,1
5120,Z1170808487,10,1
5121,Z1170808487,10,1
5122,Z1303171994,10,1
5123,Z1379380901,10,1
5124,Z1176900245,10,1
5125,Z1139214578,10,1
5126,Z1139214578,10,1
5127,Z1139214578,10,1
5128,Z1639735161,10,1
5129,Z1082768722,10,1
5130,Z1268664524,10,1
5131,Z1268664524,10,1
5132,Z1268664524,10,1
5133,Z1354413776,10,1
5134,Z1354413776,10,1
5135,Z1411894712,10,1
5136,Z1708492957,10,1
5137,Z1341620578,10,1
5138,Z1693448122,10,1
5139,Z746219846,10,1
5140,Z448188046,10,1
5141,Z448188046,10,1
5142,Z1139213838,10,1
5143,Z422386170,10,1
5144,Z1023980614,10,1
5145,Z1139483250,10,1
5146,Z1139483250,10,1
5147,Z1266684665,10,1
5148,Z941775056,10,1
5149,Z729234000,10,1
5150,Z729234000,10,1
5151,Z118325514,10,1
5152,Z1139322587,10,1
5153,Z1139322587,10,1
5154,Z1353062056,10,1
5155,Z1419983278,10,1
5156,Z1601884661,10,1
5157,Z1190500522,10,1
5158,Z1521728859,10,1
5159,Z1521728859,10,1
10001,Z1575801320,10,1
10002,AMG232,10,1
10003,Z1764925088,10,1
10004,Z1647774193,10,1
10005,Z1647774193,10,1
10006,Z1655798976,10,1
10007,Z1638165944,10,1
10008,Z1119218551,10,1
10009,Z1678284904,10,1
10010,Z1674015746,10,1
10011,Z1762056851,10,1
10012,Z1359754780,10,1
10013,Z1139467816,10,1
10014,Z1139467816,10,1
10015,Z1544579693,10,1
10016,Z1611190833,10,1
10017,Z1611190833,10,1
10018,Z1638222705,10,1
10019,Z1587682755,10,1
10020,Z1587682755,10,1
10021,Z1595491606,10,1
10022,Z1595491606,10,1
10023,Z1308002150,10,1
10024,Z1308002150,10,1
10025,Z1626912011,10,1
10026,Z1266325850,10,1
10027,Z1266325850,10,1
10028,Z1601839576,10,1
10029,Z966895374,10,1
10030,Z966895374,10,1
10031,Z1759961738,10,1
10032,Z1764467593,10,1
10033,Z1702872884,10,1
10034,Z1702872884,10,1
10035,Z1743821133,10,1
10036,Z1743821133,10,1
10037,Z1743820614,10,1
10038,Z1743820614,10,1
10039,Z1743820409,10,1
10040,Z1743820409,10,1
10041,Z1756463224,10,1
10042,Z1756060930,10,1
10043,Z1757842449,10,1
10044,Z1754625724,10,1
10045,Z1693397170,10,1
10046,Z1543397299,10,1
10047,Z1166113790,10,1
10048,Z1432197226,10,1
10049,Z1634583963,10,1
10050,Z1747164721,10,1
10051,Z1747164721,10,1
10052,Z1747164721,10,1
10053,Z1510037873,10,1
10054,Z1666578687,10,1
10055,Z1166113804,10,1
10056,Z1359754280,10,1
10057,Z823523268,10,1
10058,Z823523268,10,1
10059,Z1552973298,10,1
10060,Z809377756,10,1
10061,Z1165357120,10,1
10062,Z1139326895,10,1
10063,Z1193569245,10,1
10064,Z1139323271,10,1
10065,Z1438530404,10,1
10066,Z802765246,10,1
10067,Z802765246,10,1
10068,Z1567627653,10,1
10069,Z1737926803,10,1
10070,Z1796224179,10,1
10071,Z1623020942,10,1
10072,Z1411239365,10,1
10073,Z1411239365,10,1
10074,Z815415358,10,1
10075,Z1787687901,10,1
10076,Z1656968105,10,1
10077,Z1724553089,10,1
10078,Z1724553089,10,1
10079,Z28587972,10,1
10080,Z28587972,10,1
10081,Z1630356182,10,1
10082,Z1268665511,10,1
10083,Z1215252697,10,1
10084,Z1215252697,10,1
10085,Z942700780,10,1
10086,Z1618331070,10,1
10087,Z1614047125,10,1
10088,Z1614047125,10,1
10089,Z1618331058,6,1
10090,Z1461647085,10,1
10091,Z1286793659,10,1
10092,Z649170736,10,1
10093,Z1185545852,10,1
10094,Z1185545852,10,1
10095,Z1690318437,10,1
10096,Z1690318437,10,1
10097,Z1516480241,10,1
10098,Z1516480241,10,1
10099,Z1618173498,10,1
10100,Z1630743220,10,1
10101,Z873179770,10,1
10102,Z1652225863,10,1
10103,Z1572494493,10,1
10104,Z1572494493,10,1
10105,Z1722780277,10,1
10106,Z1722780277,10,1
10107,Z1603372632,10,1
10108,Z1666161110,10,1
10109,Z1252594776,10,1
10110,Z1252594776,10,1
10111,Z1252594776,10,1
10112,Z1619905278,10,1
10113,Z1139453304,10,1
10114,Z1139453304,10,1
10115,Z399727988,10,1
10116,Z1563254149,10,1
10117,Z910833944,10,1
10118,Z1832765278,10,1
10119,Z1558567334,10,1
10120,Z1261487982,10,1
10121,Z1261487982,10,1
10122,Z1636422626,10,1
10123,Z1335413497,10,1
10124,Z1367596899,10,1
10125,Z1272416234,10,1
10126,Z1669108090,10,1
10127,Z1494985054,10,1
10128,Z1139321500,10,1
10129,Z1513500581,10,1
10130,Z1348432059,10,1
10131,Z1151439870,10,1
10132,Z751675494,10,1
10133,Z751675494,10,1
10134,Z1631620560,10,1
10135,Z1187013609,10,1
10136,Z1446847682,10,1
10137,Z1446847682,10,1
10138,Z1229949153,10,1
10139,Z1404824614,10,1
10140,Z1567780754,10,1
10141,Z1567780754,10,1
10142,Z769332534,10,1
10143,Z1203890373,10,1
10144,Z1158213173,10,1
10145,Z1317971336,10,1
10146,Z1139337711,10,1
10147,Z955300494,10,1
10148,Z908012464,10,1
10149,Z1514249718,10,1
10150,Z1514249718,10,1
10151,Z1139326541,10,1
10152,Z1139216112,10,1
10153,Z1139339119,10,1
10154,Z1139339119,10,1
10155,Z909765418,10,1
10156,Z1147320839,10,1
10157,Z1147320839,10,1
10158,Z1127157465,10,1
10159,Z1533574513,10,1
10160,Z1180221251,10,1
10161,Z1180221251,10,1
10162,Z1529130324,10,1
10163,Z1587197805,10,1
15001,Z1546709225,10,1
15002,SAR405838,10,1
15003,SAR405838,10,1
15004,Z1646493471,10,1
15005,Z1646493471,10,1
15006,Z1653841387,10,1
15007,Z1653841387,10,1
15008,Z1619967838,10,1
15009,Z1766027310,10,1
15010,Z1630370312,10,1
15011,Z1609728930,10,1
15012,Z142904444,10,1
15013,Z1677751201,10,1
15014,Z1261264691,10,1
15015,Z736838316,10,1
15016,Z920771228,10,1
15017,Z434248608,10,1
15018,Z1191320581,10,1
15019,Z1572493273,10,1
15020,Z1572493273,10,1
15021,Z1626869727,10,1
15022,Z1627333241,10,1
15023,Z1625866671,10,1
15024,Z1625866671,10,1
15025,Z1582894816,10,1
15026,Z809544482,10,1
15027,Z1589956257,10,1
15028,Z1407865988,10,1
15029,Z1407865988,10,1
15030,Z1765329439,10,1
15031,Z1756678278,10,1
15032,Z1535831950,10,1
15033,Z1535831950,10,1
15034,Z1762260015,10,1
15035,Z1743821113,10,1
15036,Z1743821113,10,1
15037,Z1757340125,10,1
15038,Z1756541006,10,1
15039,Z1757840466,10,1
15040,Z1498077791,10,1
15041,Z1359754129,10,1
15042,Z1752047664,10,1
15043,Z1333411924,10,1
15044,Z1772692050,10,1
15045,Z1724529648,10,1
15046,Z1724529648,10,1
15047,Z1426059527,10,1
15048,Z1693396999,10,1
15049,Z1632065889,10,1
15050,Z990001224,10,1
15051,Z1385405504,10,1
15052,Z1492878600,10,1
15053,Z1139277536,10,1
15054,Z1139277536,10,1
15055,Z1139277536,10,1
15056,Z1336435987,10,1
15057,Z1165351959,10,1
15058,Z912753330,10,1
15059,Z16394951,10,1
15060,Z1139745558,10,1
15061,Z1180486726,10,1
15062,Z1240268994,10,1
15063,Z1757875871,10,1
15064,Z1300722661,10,1
15065,Z1300722661,10,1
15066,Z1649151539,10,1
15067,Z1649151539,10,1
15068,Z1649151539,10,1
15069,Z1630774685,10,1
15070,Z1139452927,10,1
15071,Z1139452927,10,1
15072,Z1681933155,10,1
15073,Z1681933155,10,1
15074,Z1228224919,10,1
15075,Z1623406188,10,1
15076,Z1623406188,10,1
15077,Z1754567628,10,1
15078,Z1260885693,10,1
15079,Z1722865325,10,1
15080,Z1722865325,10,1
15081,Z275901828,10,1
15082,Z985658896,10,1
15083,Z1275449123,10,1
15084,Z1102956524,10,1
15085,Z1642031637,10,1
15086,Z125802276,10,1
15087,Z125802276,10,1
15088,Z1174381107,10,1
15089,Z1325377670,10,1
15090,Z1325377670,10,1
15091,Z984521238,10,1
15092,Z984521238,10,1
15093,Z337816416,10,1
15094,Z1667444905,10,1
15095,Z1681941289,10,1
15096,Z1681941289,10,1
15097,Z1614061318,10,1
15098,Z1681933758,10,1
15099,Z1681933758,10,1
15100,Z1681933758,10,1
15101,Z1630766458,10,1
15102,Z1220758983,10,1
15103,Z1220758983,10,1
15104,Z1665842670,10,1
15105,Z27703904,10,1
15106,Z27703904,10,1
15107,Z1630858054,10,1
15108,Z1630858054,10,1
15109,Z1653012128,10,1
15110,Z1205156735,10,1
15111,Z296528678,10,1
15112,Z1022453578,10,1
15113,Z1643521384,10,1
15114,Z810425994,10,1
15115,Z1139323887,10,1
15116,Z1631615486,10,1
15117,Z1393226388,10,1
15118,Z1393226388,10,1
15119,Z1597941996,10,1
15120,Z908287902,10,1
15121,Z1548086603,10,1
15122,Z1491395185,10,1
15123,Z1491395185,10,1
15124,Z1491395185,10,1
15125,Z1359491933,10,1
15126,Z1359491933,10,1
15127,Z1519074826,10,1
15128,Z1192048064,10,1
15129,Z1422562712,10,1
15130,Z1200976103,10,1
15131,Z1270105094,10,1
15132,Z1139315045,10,1
15133,Z1331321544,10,1
15134,Z1331321544,10,1
15135,Z1331321544,10,1
15136,Z981389044,10,1
15137,Z1638283741,10,1
15138,Z1624201769,10,1
15139,Z1587272032,10,1
15140,Z1587272032,10,1
15141,Z1175224571,10,1
15142,Z1268664556,10,1
15143,Z1614415670,10,1
15144,Z971647984,10,1
15145,Z751961098,10,1
15146,Z131773472,10,1
15147,Z809306978,10,1
15148,Z1251871901,10,1
15149,Z1139468098,10,1
15150,Z1139468098,10,1
15151,Z1139468098,10,1
15152,Z1139347513,10,1
15153,Z1139323228,10,1
15154,Z1139329720,10,1
15155,Z1142722525,10,1
15156,Z955531394,10,1
15157,Z955531394,10,1
15158,Z1139320977,10,1
15159,Z1139322769,10,1
15160,Z1272418097,10,1
15161,Z1289513100,10,1
15162,Z1139336727,10,1
15163,Z1139336727,10,1
15164,Z1450275410,10,1
20001,Z1337997908,10,1
20002,CGM097,10,1
20003,Z1139478306,10,1
20004,Z1139478306,10,1
20005,Z828895878,10,1
20006,Z1665851503,10,1
20007,Z1665851503,10,1
20008,Z1665851503,10,1
20009,Z1665851503,10,1
20010,Z1643435227,10,1
20011,Z1693401023,10,1
20012,Z1693401023,10,1
20013,Z101692262,10,1
20014,Z101692262,10,1
20015,Z1644353429,10,1
20016,Z1693410564,10,1
20017,Z1693410564,10,1
20018,Z1638718118,10,1
20019,Z1646536337,10,1
20020,Z1626828094,10,1
20021,Z1658743407,10,1
